race,age,engnat,gender,hand,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
3,53,1,1,1,US,4,2,5,2,5,1,4,3,5,1
13,46,1,2,1,US,2,2,3,3,3,3,1,5,1,5
1,14,2,2,1,PK,5,1,1,4,5,1,1,5,5,1
3,19,2,2,1,RO,2,5,2,4,3,4,3,4,4,5
11,25,2,2,1,US,3,1,3,3,3,1,3,1,3,5
13,31,1,2,1,US,1,5,2,4,1,3,2,4,1,5
5,20,1,2,1,US,5,1,5,1,5,1,5,4,4,1
4,23,2,1,1,IN,4,3,5,3,5,1,4,3,4,3
5,39,1,2,3,US,3,1,5,1,5,1,5,2,5,3
3,18,1,2,1,US,1,4,2,5,2,4,1,4,1,5
3,17,2,2,1,IT,1,5,2,5,1,4,1,4,1,5
13,15,2,1,1,IN,3,3,5,3,3,3,2,4,3,3
13,22,1,2,1,US,3,3,4,2,4,2,2,3,4,3
3,21,1,2,1,US,1,3,2,5,1,1,1,5,1,5
3,28,2,2,1,US,3,3,3,4,3,2,2,4,3,5
3,21,1,1,1,US,2,3,2,3,3,1,1,3,4,4
13,19,1,2,1,FR,1,3,2,4,2,4,1,4,3,4
3,21,1,2,1,US,4,1,5,2,5,1,5,3,5,1
3,26,1,2,3,GB,2,3,4,3,1,4,1,4,1,5
3,26,1,2,1,US,2,2,3,3,3,3,1,3,3,3
13,19,2,2,1,LT,1,4,2,5,3,4,2,4,3,3
11,29,2,2,1,US,2,3,4,2,4,1,3,4,2,3
3,29,1,2,1,US,2,3,1,4,2,4,1,3,3,4
3,21,1,1,2,CA,3,3,4,3,4,3,3,3,4,3
3,52,1,2,1,US,3,4,4,4,2,3,3,3,4,5
3,19,2,2,1,GR,1,3,2,4,2,3,3,2,2,5
3,48,1,1,1,US,5,5,4,1,5,1,5,1,5,2
3,22,1,1,1,US,3,3,4,3,2,2,3,4,2,4
1,17,1,2,1,US,2,4,3,4,2,2,4,5,1,5
3,37,2,1,1,DK,3,3,3,3,2,2,4,2,3,4
1,19,1,2,1,US,4,2,1,5,4,1,3,3,1,5
3,22,1,2,1,US,2,3,3,4,3,2,4,5,2,4
3,25,1,1,2,US,4,2,4,2,4,2,4,2,4,2
3,20,1,2,1,US,5,2,4,1,5,1,5,1,5,3
3,15,1,2,2,GB,1,4,3,4,3,3,1,5,1,5
3,46,1,2,2,US,1,2,3,3,3,1,1,4,2,3
3,15,1,1,1,GB,1,5,2,5,2,2,2,3,4,5
3,18,1,2,2,US,2,3,3,3,4,1,1,3,1,3
3,42,1,1,1,US,2,4,2,4,2,3,3,4,2,5
3,27,1,2,1,US,1,2,2,4,2,2,1,4,2,5
1,17,1,1,1,US,5,1,1,1,5,1,5,1,5,1
8,17,1,2,1,US,4,2,3,3,3,2,5,3,5,5
6,17,1,2,1,US,2,3,2,4,2,2,2,4,3,5
13,60,1,2,1,US,3,1,5,1,5,1,5,1,5,1
3,27,1,2,1,CA,1,3,4,5,3,3,3,5,1,5
3,19,1,2,1,US,4,2,4,3,5,2,5,2,5,3
3,20,1,1,1,US,1,5,2,5,2,3,1,4,2,5
4,19,1,1,1,IN,2,3,5,2,5,2,3,2,5,1
13,26,2,2,1,US,1,5,1,5,1,5,1,5,1,5